,Dmean,SP-3,SP-4,SP-5,MPC2,MPC3,MPC4,piPC2,MWC2,MWC3,MWC4,MWC5,MWC6,SRW4,SRW6,SRW8
881,-8.266666666666666,0.6446208,0.72721136,0.62528014,0.5637105,0.65578187,0.6629788,0.67013127,0.6695602,0.6969974,0.7033024,0.70579237,0.70471877,0.6740503,0.7094945,0.7370536
882,-7.7,0.6247124,0.471318,0.501577,0.5637105,0.5841373,0.43906653,0.6821119,0.6695602,0.67980766,0.6838823,0.6815762,0.6797239,0.7290025,0.80092037,0.8365541
883,-9.133333333333335,0.7940263,0.83330977,0.7816636,0.98040843,0.8707155,0.81225365,1.1328428,0.92383254,0.92855006,0.9474198,0.9363712,0.938833,0.9336893,0.96541226,0.95855296
884,-9.0,0.7828195,0.84618896,0.78149986,0.71997225,0.7632487,0.7624954,1.1048663,0.8010096,0.79665136,0.7725524,0.7530532,0.7257231,0.7954548,0.74053425,0.66967237
885,-8.266666666666666,1.7357067,1.4421588,1.3330469,1.9179788,1.336405,0.96152854,1.2664436,1.5281887,1.3672383,1.2529353,1.1237886,1.0287871,1.4927686,1.2985679,1.0953456
886,-8.9,0.30101523,0.3950073,0.2301337,0.51162326,0.36920375,0.33954993,0.7523385,0.6002048,0.5911607,0.6275368,0.6077065,0.62498176,0.6174007,0.6725288,0.69277585
887,-6.633333333333333,-0.097219765,0.027789036,0.20423935,-0.11342362,-0.024841238,0.09075849,0.27430028,0.119526,0.17017956,0.19184002,0.22527637,0.23994744,0.12543562,0.13823731,0.13428362
888,-5.0,-1.1404551,-1.3713349,-1.442979,-1.2072557,-1.1711539,-1.3024735,-1.8160934,-1.456821,-1.3959975,-1.3635612,-1.2796364,-1.2502545,-1.4409946,-1.2955838,-1.130398
889,-6.3,-0.5082483,-0.5427483,-0.4803795,-0.5822088,-0.6338198,-0.6804949,-0.19687213,-0.2869021,-0.34211367,-0.4292054,-0.47118703,-0.5357908,-0.31939495,-0.43836996,-0.5373004
890,-8.833333333333334,0.74181706,0.82795626,0.689071,0.7720595,0.7274264,0.7127371,1.3046314,0.82204807,0.8046987,0.80003726,0.7726846,0.7616134,0.82137567,0.8083157,0.77281946
891,-8.333333333333334,1.623649,1.8636341,1.6865575,1.6054554,1.5513386,1.5835071,1.6155914,1.363312,1.2844316,1.2137158,1.1426085,1.0858566,1.3344163,1.1986866,1.064591
892,-8.666666666666666,1.623649,1.8636341,1.6865575,1.6054554,1.5513386,1.5835071,1.6155914,1.363312,1.2844316,1.2137158,1.1426085,1.0858566,1.3344163,1.1986866,1.064591
893,-6.766666666666667,0.052863955,0.031849466,-0.03100674,-0.06133638,0.010981033,-0.033637222,0.577589,0.1794478,0.21613783,0.21385816,0.22860944,0.21955366,0.18101133,0.1962193,0.20043056
894,-12.133333333333333,3.4526727,3.3507175,3.6024876,3.4805963,3.6290302,3.623597,1.9010254,2.0614522,2.0052311,1.9882779,1.9486707,1.9351822,2.0763707,2.0602837,2.0255437
